test_id;Question;SPARQL query;Extracted_properties_str
test_0;Which distinct items are subclasses of execution methods or the subclasses of those, and so on?;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?class WHERE { ?class wdt:P279 + wd:Q15169167 . };P279
test_1;Which humans who were born in Australia or in any administrative territorial entity within Australia do not have a specified sex or gender?;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item WHERE { ?item wdt:P19 / wdt:P131 * wd:Q408 . ?item wdt:P31 wd:Q5 . FILTER ( NOT EXISTS { ?item wdt:P21 _:b1 . } ) };P19, P131, P31, P21
test_2;What are the different types of awards received by individuals listed in the GEPRIS Historisch database, along with their labels and the count of each award? The awards should be filtered to include only specific types such as general awards, science awards, cultural prizes, chemistry awards, literary awards, physics awards, national academies, and journalism prizes.;"PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?preis ?preisLabel ( count ( * ) as ?count ) WHERE { ?person wdt:P31 wd:Q5 . ?person wdt:P9044 ?gepris . ?person wdt:P166 ?preis . ?preis wdt:P31 ?preistype . filter ( ?preistype = wd:Q618779 || ?preistype = wd:Q11448906 || ?preistype = wd:Q15383322 || ?preistype = wd:Q107471279 || ?preistype = wd:Q378427 || ?preistype = wd:Q107494520 || ?preistype = wd:Q5257307 || ?preistype = wd:Q1792571 || ?preistype = wd:Q55190113 || ?preistype = wd:Q1966910 || ?preistype = wd:Q1709894 ) SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"" . } } GROUP BY ?preis ?preisLabel ORDER BY DESC ( ?count )";P31, P9044, P166
test_3;What are the names, average latitudes, average longitudes, and average populations of municipalities in Austria that are still in existence, with labels in German?;"PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX psv: <http://www.wikidata.org/prop/statement/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?itemLabel ( AVG ( ?item_lat ) AS ?lat ) ( AVG ( ?item_long ) AS ?long ) ( AVG ( ?Einwohnerzahl ) AS ?pop ) WHERE { ?item p:P31 ?statement . ?statement ps:P31 wd:Q667509 . filter not exists { ?statement pq:P582 [] . } ?item rdfs:label ?itemLabel . ?item ( p:P625 / psv:P625 ) ?item_node . ?item_node wikibase:geoLatitude ?item_lat . ?item_node wikibase:geoLongitude ?item_long . ?item wdt:P1082 ?Einwohnerzahl . FILTER ( ( LANG ( ?itemLabel ) ) = ""de"" ) } GROUP BY ?itemLabel ORDER BY ?itemLabel";P1082
test_4;Which distinct movies were directed by Steven Spielberg, along with their titles and the earliest year of publication, sorted by year?;"PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?movie ?movieLabel ( min ( ?year ) as ?myear ) WHERE { ?movie wdt:P31 / wdt:P279 * wd:Q11424 . ?movie wdt:P57 wd:Q8877 . ?movie wdt:P577 ?date . BIND ( year ( ?date ) as ?year ) SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"" . } } group by ?movie ?movieLabel ORDER BY ?year";P31, P279, P57, P577
test_5;What are the architectural structures within a 5 km radius of the coordinates (13.5812565, 52.5153623), along with their latitude and longitude?;"PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX psv: <http://www.wikidata.org/prop/statement/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?place ( sample ( ?latitude ) as ?latitude ) ( sample ( ?longitude ) as ?longitude ) WHERE { ?place_sub wdt:P279 * wd:Q811979 . ?place wdt:P31 ?place_sub . SERVICE wikibase:around { ?place wdt:P625 ?location . bd:serviceParam wikibase:center ""Point(13.5812565 52.5153623)"" ^^ geo:wktLiteral . bd:serviceParam wikibase:radius ""5"" . } ?place p:P625 ?statement . ?statement ps:P625 ?value . filter ( ?value = ?location ) ?statement psv:P625 ?coordinate_node . ?coordinate_node wikibase:geoLatitude ?latitude . ?coordinate_node wikibase:geoLongitude ?longitude . } group by ?place";P279, P31, P625
test_6;Who are the distinct candidates for the Mayor of Germasogeia Municipality Elections?;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?item WHERE { ?election wdt:P31 wd:Q93306595 . ?election wdt:P726 ?item . };P31, P726
test_7;What are the distinct audiovisual works that are based on, inspired by, or were written by Jane Austen?;"SELECT DISTINCT ?item
with { select ?item where
{
    hint:Query hint:optimizer ""None"".
    VALUES ?author {wd:Q36322}
    { ?item wdt:P144*/wdt:P50 ?author }
    union { ?item wdt:P1877 ?author  }
    UNION { ?item wdt:P58 ?author }  
} } as %i
where
{
  include %i
  ?item wdt:P31/wdt:P279* wd:Q2431196 .
  }
";P144, P50, P1877, P58, P31, P279
test_8;Which properties are used in claims related to items that are public elections? Include a count of the number of times it was used.;"SELECT ?property ?count
WITH
{
  SELECT DISTINCT ?item
  WHERE
  {
    ?item wdt:P31/wdt:P279* wd:Q40231 .
  }
} AS %get_items
WITH
{
  SELECT ?property (COUNT(*) as ?count)
  WHERE
  {
    INCLUDE %get_items
    ?item ?claim [] .
    ?property wikibase:claim ?claim .
  } 
  GROUP BY ?property
} AS %get_properties
WHERE
{
  INCLUDE %get_properties
}
ORDER BY DESC(?count)
";P31, P279
test_9;What are the distinct occupations related to the musical profession, along with their subclasses (if available)?;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?occupation ?subclassOf WHERE { ?occupation wdt:P279 * / wdt:P31 / wdt:P279 * wd:Q66715801 OPTIONAL { ?occupation wdt:P279 ?subclassOf . } };P279, P31
test_10;What are the distinct lithostratigraphic units located in Arizona? Please include any parts they have (if available, the larger units they are part of (if available), and their Geolex IDs (if available).;PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?unit ?haspart ?partof ?GeolexID WHERE { ?unit ( wdt:P31 / ( wdt:P279 * ) ) wd:Q3550897 . OPTIONAL { ?unit wdt:P527 ?haspart . } OPTIONAL { ?unit wdt:P361 ?partof . } OPTIONAL { ?unit wdt:P6202 ?GeolexID . } ?unit wdt:P131 wd:Q816 . };P31, P279, P527, P361, P6202, P131
test_11;What are the items that are subclasses of scholarly articles, ordered by their labels?;"PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item ?itemLabel WHERE { ?item wdt:P279 * wd:Q13442814 . SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"" . } } order by ?itemLabel";P279
test_12;"What are the municipalities of Catalonia, Spain, with an IDESCAT territorial code starting with ""25""? Include their most recent population using their preferred rank (if available), area (if available), and coat of arms image (if available).";"PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?item ?poblacio ?superficie ?imatge_de_l_escut_d_armes ?pointInTime WHERE { ?item wdt:P31 wd:Q33146843 ; wdt:P4335 ?p4335 . FILTER ( STRSTARTS ( ?p4335 , ""25"" ) ) OPTIONAL { ?item p:P1082 [ ps:P1082 ?poblacio ; pq:P585 ?pointInTime ; wikibase:rank wikibase:PreferredRank ] . } OPTIONAL { ?item wdt:P2046 ?superficie . } OPTIONAL { ?item wdt:P94 ?imatge_de_l_escut_d_armes . } }";P31, P4335, P2046, P94
test_13;Which countries are sovereign states, along with their capitals, currencies, populations, flag images, and the determination methods of their capitals, if available? Exclude historical countries and ancient civilizations.;"PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?country ?capital ?currency ?population ?flag_image ?determination_method WHERE { ?country wdt:P31 wd:Q3624078 . FILTER NOT EXISTS { ?country wdt:P31 wd:Q3024240 } FILTER NOT EXISTS { ?country wdt:P31 wd:Q28171280 } OPTIONAL { ?country wdt:P36 ?capital } . OPTIONAL { ?country p:P36 [ ps:P36 ?capital ; pq:P459 ?determination_method ] . } . OPTIONAL { ?country wdt:P38 ?currency } . OPTIONAL { ?country wdt:P1082 ?population } . OPTIONAL { ?country p:P41 ?flagStatement . ?flagStatement wikibase:rank wikibase:PreferredRank . ?flagStatement ps:P41 ?flag_image . } . } ORDER BY ?population";P31, P36, P38, P1082
test_14;What are the mountains with an elevation above sea level greater than 8000 meters, excluding those located on any astronomical body?;PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?item ?m { ?item wdt:P31 wd:Q8502 . ?item p:P2044 / psn:P2044 / wikibase:quantityAmount ?m . FILTER ( ?m > 8000 ) MINUS { ?item wdt:P376 [] } };P31, P376
test_15;"What is the most recent publication date of ""Minecraft""?";"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX psv: <http://www.wikidata.org/prop/statement/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX p: <http://www.wikidata.org/prop/> SELECT ?item ?itemLabel ?date WHERE { VALUES ?itemLabel { ""Minecraft"" @en } . ?item rdfs:label ?itemLabel . ?item p:P577 ?P577_stat . ?P577_stat psv:P577 [] . ?P577_stat a wikibase:BestRank . ?P577_stat ps:P577 ?date . }";
test_16;What are the items in the collection of the Musée d'art et d'histoire de Saint-Brieuc, along with the items of their creators, the items of the creators' places of birth in Brittany, their inventory numbers, and images (if available)?;PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> SELECT ?item ?auteur ?lieunaissance ?inventaire ?image WHERE { ?item wdt:P217 ?inventaire . ?item p:P217 ?statement . ?statement pq:P195 wd:Q3329624 . ?item wdt:P170 ?auteur . ?auteur wdt:P19 ?lieunaissance . ?lieunaissance wdt:P131 * wd:Q12130 . OPTIONAL { ?item wdt:P18 ?image . } };P217, P170, P19, P131, P18
test_17;What are the distinct places where the official language is Swedish, along with their labels, the unique instances they belong to (if available), and the unique entities they are part of (if available)? Order results alphabetically by place label.;"PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?place ?placeLabel ?instance_of ?part_of WHERE { ?place wdt:P37 wd:Q9027 . OPTIONAL { ?place wdt:P31 ?instance_of . } OPTIONAL { ?place wdt:P361 ?part_of . } SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"" . } } GROUP BY ?place ?placeLabel ?instance_of ?part_of ORDER BY STR ( ?placeLabel )";P37, P31, P361
test_18;What are the distinct countries and country parts (like Western Russia) in the continent Europe, their labels, and their area in square kilometers (rounded and calculated from either the country's area or the part's area if available)? Also include the part of the country (if applicable), and exclude countries that have been dissolved, abolished, or demolished. Order results by the area in descending order.;"PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?country ?countryLabel ( ROUND ( COALESCE ( ?area3 , ?area2 ) / 1000000 ) as ?area_km2 ) ?part { ?country p:P31 / ps:P31 wd:Q6256 . ?country wdt:P30 wd:Q46 . ?country p:P2046 / psn:P2046 [ wikibase:quantityAmount ?area2 ] . OPTIONAL { ?country p:P30 [ pq:P518 ?part ; ps:P30 wd:Q46 ] . ?part p:P2046 / psn:P2046 [ wikibase:quantityAmount ?area3 ] . } MINUS { ?country wdt:P576 [] } SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"" . } } ORDER by desc ( ?area_km2 )";P30, P576
